Lat.,Long.,Titolo,Id,Nr. Incendio,Data Incendio,Ora Accertamento,Ora Richiesta,Regione,Provincia,Comune,Località,DMS_lat,DMS_lon
36.961,15.127,,15804,1,12/06/2022,12/06/2022 13:31,13:46,Sicilia,Siracusa,Avola,stirata uzzo,36° 57' 39'' N,15° 07' 37'' E
39.133,16.985,,15805,2,12/06/2022,12/06/2022 14:06,14:11,Calabria,Crotone,Scandale,Ponticello di S. Pietro,39° 07' 58'' N,16° 59' 05'' E
37.84,15.209,,15806,3,12/06/2022,12/06/2022 16:40,16:45,Sicilia,Catania,Calatabiano,calatabiano,37° 50' 24'' N,15° 12' 32'' E
40.286,9.293,,15803,1,10/06/2022,10/06/2022 17:21,17:42,Sardegna,Nuoro,Nuoro,S.S. DI BUDDUSO E DEL CORREBOI,40° 17' 09'' N,09° 17' 34'' E
36.942,15.114,,15801,1,09/06/2022,09/06/2022 15:12,15:24,Sicilia,Siracusa,Avola,COZZO CAPPELLO,36° 56' 31'' N,15° 06' 50'' E
37.437,13.546,,15802,2,09/06/2022,09/06/2022 15:34,15:42,Sicilia,Agrigento,Santa Elisabetta,MONTAGNA DEL COMUN,37° 26' 13'' N,13° 32' 45'' E
37.696,14.893,,15795,1,08/06/2022,07/06/2022 19:16,05:46,Sicilia,Catania,Adrano,D'Urso,37° 41' 45'' N,14° 53' 34'' E
39.96,15.884,,15796,2,08/06/2022,08/06/2022 11:16,11:52,Calabria,Cosenza,Tortora,XV5P,39° 57' 36'' N,15° 53' 02'' E
39.811,16.196,,15797,3,08/06/2022,08/06/2022 12:45,12:49,Calabria,Cosenza,Castrovillari,Filicetti,39° 48' 39'' N,16° 11' 45'' E
38.535,14.36,,15798,4,08/06/2022,08/06/2022 13:33,13:33,Sicilia,Messina,Lipari,,38° 32' 05'' N,14° 21' 35'' E
36.876,15.106,,15799,5,08/06/2022,08/06/2022 14:41,14:48,Sicilia,Siracusa,Noto,S.P. 34/Falconara,36° 52' 33'' N,15° 06' 21'' E
41.874,13.016,,15800,6,08/06/2022,08/06/2022 16:45,17:00,Lazio,Roma,Bellegra,Casale,41° 52' 26'' N,13° 00' 57'' E
